customer_id,propensity,tier,expected_npv
43394,0.73626375,High,3076.566895165752
42559,0.66883117,High,2794.3337875550405
39990,0.4493927,High,2360.5239360289106
43054,0.8706468,High,2354.8324172655693
41375,0.37027028,High,1133.368266256665
43020,0.7933884,High,1127.566354759579
44522,0.7933884,High,1127.566354759579
40764,0.40611354,High,1095.7447529612207
41694,0.2924107,High,1067.9038682527155
43673,0.73626375,High,1046.0205990900774
43291,0.6546185,High,984.9406156812987
44051,0.6546185,High,976.1681357877355
42991,0.50547445,High,962.2746928199296
31223,0.5592417,High,937.1255795094878
41618,0.8780488,High,926.6017247851444
39536,0.73626375,High,901.133371789171
42972,0.73626375,High,862.7674768700465
41798,0.4493927,High,860.7705962271351
31125,0.66883117,High,818.1428523131775
43954,0.4493927,High,688.5105522402656
41923,0.5592417,High,687.50625815253
34171,0.37027028,High,686.8494256121078
44862,0.50547445,High,680.3537336526266
39962,0.44871795,High,633.8821687871056
42718,0.8780488,High,608.0423591906517
41383,0.6546185,High,601.1108800306356
39650,0.73626375,High,581.6452715675011
43017,0.8706468,High,579.000971310288
42591,0.75,High,556.7942577351014
40241,0.37027028,High,551.9605438889926
34163,0.2924107,High,547.9099189571153
41663,0.26865673,Medium,540.3675998608051
44351,0.8706468,High,536.5045121254991
40279,0.50547445,High,531.3037560723529
40752,0.44871795,High,523.8632549107567
39897,0.66883117,High,517.6429677493961
31134,0.6546185,High,516.5914102868846
34017,0.31623933,High,510.55598399708117
43143,0.6546185,High,510.04579067399527
40069,0.4493927,High,506.5685533809327
45099,0.8780488,High,498.0242006794696
24070,0.37027028,High,496.0431098979444
41959,0.8706468,High,493.7836788161866
43532,0.8706468,High,493.7836788161866
40591,0.8706468,High,488.98207255137936
44679,0.73626375,High,487.57103466887673
44296,0.8780488,High,486.52909074041554
45098,0.8780488,High,486.52909074041554
41955,0.8706468,High,485.2574620842859
43946,0.41007194,High,482.1191615707519
43357,0.8780488,High,473.94782868113595
42380,0.2924107,High,471.70884633412084
41642,0.8706468,High,469.9102719668648
38018,0.37027028,High,464.43926324634856
24054,0.37027028,High,463.6377164109821
44973,0.73626375,High,460.39993599222674
41614,0.8706468,High,455.05670492339584
43029,0.8706468,High,452.0500916547782
41748,0.73626375,High,451.8615320784751
34155,0.31623933,High,446.4334028701599
40467,0.37027028,High,445.2403080944734
42833,0.37027028,High,441.97686740762384
40435,0.66883117,High,441.6303205699609
42018,0.50547445,High,436.20981826987116
39583,0.37027028,High,435.3927326885413
40426,0.37027028,High,431.19415402709745
43008,0.8780488,High,418.9161212563734
42284,0.8706468,High,415.3424848827008
31056,0.66883117,High,412.60417593273434
44513,0.7933884,High,411.4929348363054
40463,0.40611354,High,407.14870948725803
41544,0.4493927,High,405.880855221605
45119,0.5592417,High,404.42180606861746
32184,0.37027028,High,404.28508169693436
45076,0.66883117,High,403.91701625508466
31040,0.2924107,High,399.3811272839328
39595,0.50547445,High,398.4327744853236
42414,0.6546185,High,396.20599390137426
42351,0.6546185,High,395.22752499016923
42964,0.73626375,High,395.01473624380804
31772,0.37027028,High,392.07103468182487
39722,0.19615385,Medium,390.2866414721256
29513,0.17283951,Medium,388.1670156423274
40572,0.28301886,High,380.8643448939917
40751,0.66883117,High,378.1657929249086
42463,0.8780488,High,370.8086335980491
44739,0.8780488,High,370.8086335980491
40778,0.66883117,High,370.20256322039626
44631,0.8706468,High,367.6405460089621
30618,0.5592417,High,365.595336568869
24082,0.37027028,High,362.71915294863993
45111,0.8666667,High,361.5147476231138
14817,0.18548387,Medium,360.9548365135439
43383,0.73626375,High,360.4057390467345
31038,0.26865673,Medium,359.26152296403035
40213,0.7933884,High,357.55536183197677
44057,0.5592417,High,357.2939087916399
41538,0.50547445,High,356.7998669213878
41417,0.8780488,High,355.602503914891
19786,0.10485651,Medium,355.5941729494383
42395,0.37027028,High,355.3334713941909
43704,0.8706468,High,353.99859923792104
44788,0.50547445,High,353.8558628195575
43193,0.8706468,High,352.56260484096936
44665,0.8706468,High,352.56260484096936
42487,0.66883117,High,351.65616676573137
29522,0.2924107,High,349.08781649616924
43615,0.8706468,High,345.1133839067825
42694,0.7933884,High,344.8786009287609
41896,0.5592417,High,342.8240589854976
40555,0.66883117,High,342.69322424117206
42448,0.6546185,High,340.8381496500788
45128,0.41007194,High,340.6354253988157
42196,0.2924107,High,339.6380394916959
31061,0.5592417,High,336.9150565746228
41271,0.37027028,High,336.13451624231567
43424,0.7933884,High,334.5736210977595
43219,0.50547445,High,333.16967470581216
34218,0.31623933,High,328.3754834237212
41516,0.4493927,High,324.37176623548237
41948,0.7422146,High,324.10931518341204
31395,0.5592417,High,323.16581681858713
31415,0.6546185,High,318.9406902234542
43109,0.5592417,High,318.3809660858786
43305,0.50547445,High,318.29333539479376
43791,0.50547445,High,316.91251931163436
45077,0.66883117,High,315.56308667644845
37608,0.44871795,High,312.10517724587334
44016,0.5592417,High,311.2325143888203
43721,0.6546185,High,311.04545831924753
44875,0.35119048,High,311.007931165863
43079,0.37027028,High,308.595657112936
24095,0.50547445,High,308.3149852089443
42541,0.50547445,High,308.10656013978814
33850,0.2924107,High,307.3249264173881
27050,0.13728814,Medium,307.2540101624671
31131,0.7933884,High,306.31671211671994
40865,0.2924107,High,302.7884305986537
41957,0.40611354,High,301.56830874303614
41922,0.8706468,High,300.46293312656604
20738,0.17073171,Medium,299.8793782257567
40401,0.44871795,High,299.454274178738
44718,0.8706468,High,298.84743942999546
41677,0.37027028,High,297.1831569331931
31001,0.2924107,High,296.2022223834146
42083,0.6666667,High,294.93974301947617
34347,0.4493927,High,292.8011813283823
41483,0.8780488,High,292.51516826512216
40014,0.37027028,High,289.7593064818219
42572,0.50547445,High,289.47856958395954
42022,0.50547445,High,287.83722216435507
43170,0.66883117,High,286.81272488613143
40623,0.2924107,High,286.1345173770538
41519,0.44871795,High,285.6932370216163
43120,0.5592417,High,285.3193769869836
40225,0.37027028,High,284.8355187788558
44527,0.7933884,High,283.29407860539544
40028,0.35119048,High,280.76109573350203
44439,0.2924107,High,280.316951310504
45073,1.0,High,277.19212010364276
42549,0.50547445,High,276.061205757034
31344,0.50547445,High,275.54014308414366
43894,0.6546185,High,275.17951167748816
42069,0.6546185,High,274.30226368813186
40790,0.40611354,High,273.33120315145095
44870,1.0,High,273.171848803536
40306,0.37027028,High,272.3542894852909
43165,1.0,High,271.21325509322764
43146,0.6666667,High,270.68066883322916
44802,0.6546185,High,270.4896089651603
44672,0.8706468,High,270.441675265295
43596,0.8706468,High,270.441675265295
36436,0.2924107,High,270.1136035720215
41190,0.4493927,High,269.7544227204847
39527,0.44871795,High,269.3418869878601
43518,0.19615385,Medium,267.62019252380856
42981,0.75,High,267.52800640146313
24138,0.41007194,High,266.7443077326835
40487,0.2924107,High,266.5266068781385
44316,0.75,High,265.7884659350708
41017,0.5592417,High,264.99817357397495
43296,0.31623933,High,264.2203031198163
42155,0.8666667,High,263.73281190745314
43149,0.66883117,High,262.7161986374125
44851,0.8706468,High,262.36420678244167
40245,0.5,High,261.62645430066556
42412,0.8780488,High,261.42406382366505
39417,0.66883117,High,260.5099358621364
31381,0.50547445,High,260.3511661693911
31242,0.50547445,High,260.2209005011685
41686,0.19615385,Medium,260.2195627842415
32978,0.40611354,High,257.0462008162002
41819,0.37027028,High,255.86532601489307
42466,0.37027028,High,255.65539708182087
42958,0.66883117,High,255.40795319431032
42071,0.6546185,High,254.3617420839176
42040,0.37027028,High,254.12864120493214
43407,0.31623933,High,253.08768417988568
33921,0.8780488,High,253.0063848919168
33916,0.4493927,High,252.4519818359625
43110,0.6546185,High,252.10114149596097
39649,0.2924107,High,251.56069210071888
43584,0.41007194,High,250.046944186847
39830,0.2924107,High,249.29997989869173
29325,0.37027028,High,248.76591118736064
24108,0.6546185,High,248.25474646570643
44865,0.6546185,High,247.5462000127648
42072,0.6546185,High,246.63521171612558
39493,0.37027028,High,244.89176814975562
38918,0.2924107,High,244.62784134783573
31174,0.8706468,High,244.54890129525987
41255,0.2924107,High,243.93455627254738
31631,0.40611354,High,243.90098042219324
43124,0.8780488,High,242.6879397497739
31455,0.6546185,High,242.51889422760755
44290,0.8706468,High,242.30516005002283
43723,0.7933884,High,241.4607676247828
41436,0.50547445,High,241.12395353973858
42172,0.44871795,High,238.79007171969587
39374,0.37027028,High,235.59764174919576
42182,0.50547445,High,235.3141047370116
43308,0.5592417,High,235.164917499558
40161,0.50547445,High,235.10567966785553
43441,0.6546185,High,234.92732508894727
42988,0.8780488,High,234.45128617139665
31286,0.5592417,High,234.35783424343848
41684,0.5592417,High,234.0984146254001
42673,0.40611354,High,233.35131309961437
41150,0.50547445,High,232.89116330807173
39933,0.37027028,High,230.1585739377798
43343,0.66883117,High,229.1051641703152
43436,0.37027028,High,229.0516759270355
31316,0.50547445,High,227.62843031187955
34079,0.73626375,High,226.94099875933546
22092,0.08563782,Medium,226.85099267497486
41924,0.6666667,High,226.80129526972004
31367,0.50547445,High,225.98708289227503
44671,0.8666667,High,225.89759055013712
42073,0.5592417,High,224.84578158203013
31791,0.37027028,High,224.75767502328608
31199,0.8706468,High,224.53472938774573
24154,0.44871795,High,224.33520075633282
41596,0.40611354,High,224.057558553533
29294,0.2924107,High,223.49771796622213
34260,0.40611354,High,223.3040108876345
24062,0.50547445,High,222.9388662558667
41884,0.40611354,High,222.92723705468524
43133,0.66883117,High,222.86557725898743
42176,0.40611354,High,222.34114442565308
41963,0.75,High,222.22264136564544
31021,0.8706468,High,222.0666140179851
42717,0.73626375,High,221.51436871637324
41038,0.40611354,High,220.56193465894833
33743,0.7933884,High,220.48277296881574
31380,0.6546185,High,219.40678373879743
40356,0.41007194,High,218.68126380454146
40335,0.50547445,High,217.36349565594045
31290,0.6546185,High,216.032753010504
31795,0.37027028,High,215.52080196810954
13155,0.08285164,Medium,214.6617227990865
33707,0.4493927,High,214.58117749032155
43211,0.37027028,High,214.35665061198188
43384,0.5592417,High,214.2960504484682
40168,0.73626375,High,213.69698557756058
21193,0.063629515,Low,213.59442083080714
40767,0.40611354,High,212.56595664858102
42623,0.6546185,High,212.52376105307874
31179,0.50547445,High,212.41340026348246
32134,0.37027028,High,212.31461462664328
42504,0.7933884,High,212.26332477027893
43956,0.50547445,High,212.12681579339278
43504,0.5592417,High,212.01892269013106
43732,0.73626375,High,211.8754594092935
44350,0.8706468,High,211.79027911479957
31299,0.6546185,High,211.6802533710054
42217,0.44871795,High,211.61491430857336
42659,1.0,High,211.3730630493319
41898,0.50547445,High,211.34522178405732
42123,0.40611354,High,211.26818011286693
31374,0.4493927,High,211.0836291990728
43088,0.5592417,High,210.289458569875
34287,0.37027028,High,210.23440974438245
43573,0.8706468,High,209.81578681899103
24085,0.40611354,High,209.55176598498704
43891,0.8780488,High,208.6551733160392
43355,0.73626375,High,208.23240707275943
20550,0.17283951,Medium,208.08201946682436
31345,0.5592417,High,207.92585760552504
